Date,Note,Amount,Cash Flow,Category,Month,Day,Year
2018-09-20,2 Place 5 to Place 0,30.0,Expense,Transport,9,20,2018
2018-09-20,Idli medu Vada mix 2 plates,60.0,Expense,Food & Beverage,9,20,2018
2018-09-19,1 month subscription,199.0,Expense,Subscriptions & Utilities,9,19,2018
2018-09-17,Data booster pack,19.0,Expense,Subscriptions & Utilities,9,17,2018
2018-09-16,Ganesh idol,251.0,Expense,Family & Gifts,9,16,2018
2018-09-15,Permanent Residence - Tata Play recharge,200.0,Expense,Subscriptions & Utilities,9,15,2018
2018-09-14,Place 2 station to Permanent Residence,50.0,Expense,Transport,9,14,2018
2018-09-13,2 Place 0 to Place 3,40.0,Expense,Transport,9,13,2018
2018-09-13,HBR 2 Months subscription,83.0,Expense,Other,9,13,2018
2018-09-13,1kg atta,46.0,Expense,Food & Beverage,9,13,2018
2018-12-09,Data booster pack,667.0,Expense,Subscriptions & Utilities,12,9,2018
2018-11-09,Home Food Delivery,650.0,Expense,Food & Beverage,11,9,2018
2018-11-09,Half lit  milk,36.0,Expense,Food & Beverage,11,9,2018
2018-10-09,Half lit  milk,36.0,Expense,Food & Beverage,10,9,2018
2018-07-09,Half lit  milk,37.0,Expense,Food & Beverage,7,9,2018
2018-06-09,Amul butter,55.0,Expense,Food & Beverage,6,9,2018
2018-05-09,11 clothes ironing,77.0,Expense,Shopping & Lifestyle,5,9,2018
2018-05-09,Chinese Bhel,30.0,Expense,Food & Beverage,5,9,2018
2018-05-09,Shev Puri,40.0,Expense,Food & Beverage,5,9,2018
2018-05-09,2 kachori,24.0,Expense,Food & Beverage,5,9,2018
2018-05-09,Half lit  milk,36.0,Expense,Food & Beverage,5,9,2018
2018-05-09,Bread,18.0,Expense,Food & Beverage,5,9,2018
2018-08-31,farewell contribution,118.0,Expense,Family & Gifts,8,31,2018
2018-08-31,Domino's Pizza,510.85,Expense,Food & Beverage,8,31,2018
2018-08-31,Half lit  milk,36.0,Expense,Food & Beverage,8,31,2018
2018-08-30,Warna Srikhand pav kg,78.0,Expense,Food & Beverage,8,30,2018
2018-08-30,Supermart,343.0,Expense,Household,8,30,2018
2018-08-29,Baking soda,27.0,Expense,Food & Beverage,8,29,2018
2018-08-29,chocobar,15.0,Expense,Food & Beverage,8,29,2018
2018-08-29,Half lit  milk,36.0,Expense,Food & Beverage,8,29,2018
2018-08-27,Dahi 2 packets,20.0,Expense,Food & Beverage,8,27,2018
2018-08-27,2 plates poha,60.0,Expense,Food & Beverage,8,27,2018
2018-08-27,Khari packet,45.0,Expense,Food & Beverage,8,27,2018
2018-08-27,Half lit  milk,36.0,Expense,Food & Beverage,8,27,2018
2018-08-25,13 clothes ironing,91.0,Expense,Shopping & Lifestyle,8,25,2018
2018-08-24,Home Food Delivery,1120.0,Expense,Food & Beverage,8,24,2018
2018-08-24,Half lit  milk,36.0,Expense,Food & Beverage,8,24,2018
2018-08-24,Ganpati+ navratri vargani,1000.0,Expense,Family & Gifts,8,24,2018
2018-08-23,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Expense,Transport,8,23,2018
2018-08-23,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Expense,Transport,8,23,2018
2018-08-23,Catering Service,60.0,Expense,Food & Beverage,8,23,2018
2018-08-22,Half lit  milk,37.0,Expense,Food & Beverage,8,22,2018
2018-08-21,cutting chai,12.0,Expense,Food & Beverage,8,21,2018
2018-08-21,Half lit  milk,36.0,Expense,Food & Beverage,8,21,2018
2018-08-19,1 month subscription,199.0,Expense,Subscriptions & Utilities,8,19,2018
2018-08-17,Dahi 2 packets,20.0,Expense,Food & Beverage,8,17,2018
2018-08-17,Half lit  milk,36.0,Expense,Food & Beverage,8,17,2018
2018-08-16,Permanent Residence - Tata Play recharge,157.0,Expense,Subscriptions & Utilities,8,16,2018
2018-08-15,Warna Srikhand half kg,290.0,Expense,Food & Beverage,8,15,2018
2018-08-15,M D sure 4kg atta,216.0,Expense,Food & Beverage,8,15,2018
2018-08-14,Dahi,32.0,Expense,Food & Beverage,8,14,2018
2018-08-14,Toothpaste Patanjali,160.0,Expense,Household,8,14,2018
2018-08-14,8 clothes ironing,56.0,Expense,Shopping & Lifestyle,8,14,2018
2018-08-14,Vanila family pack,115.0,Expense,Food & Beverage,8,14,2018
2018-08-13,5 litres can Distilled water,100.0,Expense,Household,8,13,2018
2018-08-13,Brass Puja plate and diva,220.0,Expense,Household,8,13,2018
2018-08-13,Half kg Lahsoon,45.0,Expense,Food & Beverage,8,13,2018
2018-08-13,Supermart,594.0,Expense,Household,8,13,2018
2018-08-13,Vanila cup,10.0,Expense,Food & Beverage,8,13,2018
2018-08-13,chocobar,20.0,Expense,Food & Beverage,8,13,2018
2018-11-08,8 kachori,96.0,Expense,Food & Beverage,11,8,2018
2018-06-08,hair cut,100.0,Expense,Health & Grooming,6,8,2018
2018-05-08,cutting chai,10.0,Expense,Food & Beverage,5,8,2018
2018-05-08,eyewear Glasses payment remaining,4300.0,Expense,Health & Grooming,5,8,2018
2018-05-08,For Family,3410.0,Expense,Shopping & Lifestyle,5,8,2018
2018-05-08,Place 0 to Place 4 return,20.0,Expense,Transport,5,8,2018
2018-05-08,Current Residence to Place 0,15.0,Expense,Transport,5,8,2018
2018-05-08,Bows,398.0,Expense,Family & Gifts,5,8,2018
2018-02-08,Supermart,18.0,Expense,Household,2,8,2018
2018-02-08,M D sure 4kg atta,216.0,Expense,Food & Beverage,2,8,2018
2018-02-08,eyewear Glasses advance,1000.0,Expense,Health & Grooming,2,8,2018
2018-07-31,13 clothes ironing,91.0,Expense,Shopping & Lifestyle,7,31,2018
2018-07-31,July salary,2000.0,Expense,Household,7,31,2018
2018-07-31,10 melody,10.0,Expense,Food & Beverage,7,31,2018
2018-07-30,Glucose D(50) + flora bc (40)+cyra 20(10),100.0,Expense,Health & Grooming,7,30,2018
2018-07-30,Catering Service,212.0,Expense,Food & Beverage,7,30,2018
2018-07-30,1 plates poha,25.0,Expense,Food & Beverage,7,30,2018
2018-07-29,Paneer pizza,260.0,Expense,Food & Beverage,7,29,2018
2018-07-29,Decathlon Place A to Place A station,50.0,Expense,Transport,7,29,2018
2018-07-29,Current Residence to Place 0,15.0,Expense,Transport,7,29,2018
2018-07-29,2 Place 0 to Place A returns,40.0,Expense,Transport,7,29,2018
2018-07-29,Medu vada 3 plate,105.0,Expense,Food & Beverage,7,29,2018
2018-07-28,2 INOX ,481.36,Expense,Shopping & Lifestyle,7,28,2018
2018-07-28,Supermart,3750.0,Expense,Household,7,28,2018
2018-07-27,Demat account charges,826.0,Expense,Other,7,27,2018
2018-07-26,Toast packet,40.0,Expense,Food & Beverage,7,26,2018
2018-07-23,Current Residence - Tata Play recharge,154.0,Expense,Subscriptions & Utilities,7,23,2018
2018-07-23,4 plates poha,100.0,Expense,Food & Beverage,7,23,2018
2018-07-21,Supermart,368.0,Expense,Household,7,21,2018
2018-07-21,Khajur pav kg,30.0,Expense,Food & Beverage,7,21,2018
2018-07-21,2 Bhajipav + 2 vadapav,60.0,Expense,Food & Beverage,7,21,2018
2018-07-21,Toast packet,45.0,Expense,Food & Beverage,7,21,2018
2018-07-20,chocobar,20.0,Expense,Food & Beverage,7,20,2018
2018-07-20,potato 1kg,25.0,Expense,Food & Beverage,7,20,2018
2018-07-20,onion 1 kg,25.0,Expense,Food & Beverage,7,20,2018
2018-07-20,Ola cab - eye institute to Current Residence CHS,155.0,Expense,Transport,7,20,2018
2018-07-20,Cataract Medicine,87.0,Expense,Health & Grooming,7,20,2018
2018-07-20,Cataract Medicine,1048.0,Expense,Health & Grooming,7,20,2018
2018-07-19,Dahi 4 packets,40.0,Expense,Food & Beverage,7,19,2018
2018-07-18,M D sure 4kg atta,216.0,Expense,Food & Beverage,7,18,2018
2018-07-16,12 clothes ironing,84.0,Expense,Shopping & Lifestyle,7,16,2018
2018-07-16,Sony WI-C100 earphones wireless,1190.0,Expense,Household,7,16,2018
2018-07-16,7 kachori,84.0,Expense,Food & Beverage,7,16,2018
2018-07-15,4 kachori,48.0,Expense,Food & Beverage,7,15,2018
2018-07-14,CA  - income tax filing,2000.0,Expense,Other,7,14,2018
2018-07-13,Ola cab - eye institute to Current Residence CHS,188.0,Expense,Transport,7,13,2018
2018-07-13,Cataract Medicine,1358.0,Expense,Health & Grooming,7,13,2018
2018-12-07,6 eggs,35.0,Expense,Food & Beverage,12,7,2018
2018-11-07,2 bread packets,57.0,Expense,Food & Beverage,11,7,2018
2018-09-07,3.4 Lit Petrol,360.0,Expense,Transport,9,7,2018
